ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
4388,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/login.php,302,Found,9,336,0
4391,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,GET,http://192.168.56.107/dvwa/login.php,200,OK,8,327,1398
4392,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,200,OK,9,327,1342
4394,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,302,Found,7,342,0
4393,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/login.php,302,Found,8,336,0
4395,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,302,Found,3,342,0
4396,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,GET,http://192.168.56.107/dvwa/login.php,200,OK,17,327,1398
4397,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/login.php,302,Found,9,336,0
4399,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,200,OK,5,327,1342
4398,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,GET,http://192.168.56.107/dvwa/login.php,200,OK,6,327,1398
4400,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,302,Found,17,342,0
4401,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,200,OK,18,327,1342
4402,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/login.php,302,Found,19,336,0
4403,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,302,Found,34,342,0
4404,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,200,OK,6,327,1342
4405,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:37 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,302,Found,11,342,0
4406,Sun Sep 06 12:26:37 WAT 2026,Sun Sep 06 12:26:38 WAT 2026,POST,http://192.168.56.107/dvwa/vulnerabilities/xss_s/,200,OK,15,327,1342
