ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
8150,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:07 WAT 2026,GET,http://192.168.56.107:8081/index.php?popUpNotificationCode=&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,89,473,53031
8151,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:07 WAT 2026,GET,http://192.168.56.107:8081/index.php?=&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,250,473,53877
8152,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:07 WAT 2026,GET,http://192.168.56.107:8081/index.php?popUpNotificationCode=%40&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,103,473,53031
8153,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:07 WAT 2026,GET,http://192.168.56.107:8081/index.php?do=&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,120,473,53877
8154,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:07 WAT 2026,GET,http://192.168.56.107:8081/index.php?popUpNotificationCode=%2B&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,88,473,53031
8155,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:07 WAT 2026,POST,http://192.168.56.107:8081/index.php?page=login.php,200,OK,98,472,56149
8156,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:08 WAT 2026,GET,http://192.168.56.107:8081/index.php?popUpNotificationCode=%00&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,207,473,53031
8157,Sun Sep 06 14:28:07 WAT 2026,Sun Sep 06 14:28:08 WAT 2026,GET,http://192.168.56.107:8081/index.php?do=%40&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,221,473,53877
8158,Sun Sep 06 14:28:08 WAT 2026,Sun Sep 06 14:28:08 WAT 2026,GET,http://192.168.56.107:8081/index.php?popUpNotificationCode=%7C&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,102,473,53031
8159,Sun Sep 06 14:28:08 WAT 2026,Sun Sep 06 14:28:08 WAT 2026,GET,http://192.168.56.107:8081/index.php?do=%2B&page=%2Fvar%2Fwww%2Fmutillidae%2Fhome.php,200,OK,92,472,53877
8160,Sun Sep 06 14:28:08 WAT 2026,Sun Sep 06 14:28:08 WAT 2026,POST,http://192.168.56.107:8081/index.php?page=login.php,200,OK,131,473,56149
8161,Sun Sep 06 14:28:08 WAT 2026,Sun Sep 06 14:28:08 WAT 2026,GET,http://192.168.56.107:8081/index.php?page=,200,OK,280,473,52919
